tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0011495,movie,The Mystery of 13,The Mystery of 13,0,1919,\N,\N,Action,4.6,28
tt0011530,movie,An Old Fashioned Boy,An Old Fashioned Boy,0,1920,\N,50,"Comedy,Romance",7.3,31
tt0011577,movie,Pirate Gold,Pirate Gold,0,1920,\N,200,"Action,Adventure",5.3,22
tt0011587,movie,Polly with a Past,Polly with a Past,0,1920,\N,60,Drama,3.9,18
tt0011594,movie,Pour don Carlos,Pour don Carlos,0,1921,\N,90,\N,6.3,45
tt0011612,movie,Quatre-vingt-treize,Quatre-vingt-treize,0,1921,\N,165,"Drama,History",5.6,43
tt0011639,movie,Romance,Romance,0,1920,\N,70,Drama,3.8,16
tt0011652,movie,The Saphead,The Saphead,0,1920,\N,77,"Comedy,Drama,Romance",6.1,1847
tt0011692,movie,The Sign on the Door,The Sign on the Door,0,1921,\N,84,Drama,5.5,34
tt0011738,movie,Stronger Than Death,Stronger Than Death,0,1920,\N,70,"Drama,Romance",6.9,31
tt0011742,movie,Sumurun,Sumurun,0,1920,\N,85,"Adventure,Drama,Romance",6.0,864
tt0011753,movie,Terror Island,Terror Island,0,1920,\N,55,"Action,Adventure,Horror",5.4,266
tt0011858,movie,Whispering Devils,Whispering Devils,0,1920,\N,60,Drama,5.2,19
tt0011873,movie,The Woman and the Puppet,The Woman and the Puppet,0,1920,\N,70,"Drama,Romance",7.6,15
tt0011874,movie,A Woman in Grey,A Woman in Grey,0,1920,\N,235,Drama,6.7,63
tt0011966,movie,The Big Adventure,The Big Adventure,0,1921,\N,50,Adventure,7.0,14
tt0011978,movie,Blind Hearts,Blind Hearts,0,1921,\N,60,Drama,5.8,21
tt0012068,movie,The Conquering Power,The Conquering Power,0,1921,\N,89,"Drama,Romance",6.8,568
tt0012069,movie,The Conquest of Canaan,The Conquest of Canaan,0,1921,\N,70,Drama,5.2,27
tt0012202,movie,Gasoline Gus,Gasoline Gus,0,1921,\N,50,Comedy,7.1,24
tt0012235,movie,Grausige Nächte,Grausige Nächte,0,1921,\N,83,\N,6.4,18
tt0012334,movie,Johan,Johan,0,1921,\N,84,Drama,6.7,284
tt0012366,movie,Ladies Must Live,Ladies Must Live,0,1921,\N,80,"Drama,Romance",7.1,66
tt0012382,movie,Leap Year,Leap Year,0,1924,\N,56,Comedy,6.1,371
tt0012416,movie,A Lowland Cinderella,A Lowland Cinderella,0,1921,\N,\N,\N,8.2,24
tt0012494,movie,Destiny,Der müde Tod,0,1921,\N,114,"Drama,Fantasy,Horror",7.6,7014
tt0012514,movie,O'Malley of the Mounted,O'Malley of the Mounted,0,1921,\N,60,"Adventure,Drama,Western",5.4,23
tt0012520,movie,The Old Swimmin' Hole,The Old Swimmin' Hole,0,1921,\N,60,Comedy,5.7,40
tt0012529,movie,One a Minute,One a Minute,0,1921,\N,56,Comedy,6.1,31
tt0012636,movie,The Rough Diamond,The Rough Diamond,0,1921,\N,50,"Comedy,Western",7.3,13
tt0012665,movie,Serenade,Serenade,0,1921,\N,70,"Drama,Romance",3.9,15
tt0012706,movie,Snowblind,Snowblind,0,1921,\N,60,Drama,6.4,12
tt0012708,movie,Society Secrets,Society Secrets,0,1921,\N,50,Comedy,5.4,15
tt0012771,movie,Torgus,Verlogene Moral,0,1921,\N,64,"Drama,History",5.8,49
tt0012794,movie,Vallfarten till Kevlaar,Vallfarten till Kevlaar,0,1921,\N,63,Drama,5.7,80
tt0012843,movie,White Oak,White Oak,0,1921,\N,75,Western,6.0,68
tt0012872,movie,Zirkus des Lebens,Zirkus des Lebens,0,1921,\N,69,Drama,8.2,7
tt0012873,movie,The Scarecrow,L'épouvantail,0,1921,\N,\N,\N,7.1,26
tt0012881,movie,The Adventures of Robinson Crusoe,The Adventures of Robinson Crusoe,0,1922,\N,360,Adventure,6.3,31
tt0012894,movie,Anderssonskans Kalle,Anderssonskans Kalle,0,1922,\N,65,"Comedy,Drama,Family",4.9,24
tt0012920,movie,Barb Wire,Barb Wire,0,1922,\N,\N,Western,6.5,27
